,College/Major,Graduates,Respondents,% Respondents,Employed,% Employed,Reported Salary,% Reported Salary,25th Percentile,Median,75th Percentile
0,Whole University,6867,3789,0.55,2360.0,0.62,1968.0,0.83,45000.0,61800.0,70000.0
1,College of Agriculture and Life Sciences,892,404,0.45,145.0,0.36,101.0,0.7,30000.0,40000.0,53000.0
2,Agribusiness,39,16,0.41,12.0,0.75,9.0,0.75,,35000.0,
3,Agricultural Sciences,13,5,0.38,3.0,0.6,2.0,0.67,,,
4,Agricultural Technology,68,15,0.22,11.0,0.73,4.0,0.36,,22880.0,
5,Animal and Poultry Sciences,134,53,0.4,19.0,0.36,14.0,0.74,20800.0,28600.0,33000.0
6,Applied Economic Management,37,16,0.43,7.0,0.44,4.0,0.57,,55000.0,
7,Biochemistry,133,56,0.42,16.0,0.29,12.0,0.75,29120.0,30000.0,40000.0
8,Biological Systems Engineering,55,32,0.58,14.0,0.44,10.0,0.71,,65000.0,
9,Crop and Soil Environmental Sciences,29,10,0.34,5.0,0.5,2.0,0.4,,,
10,Dairy Science,15,7,0.47,4.0,0.57,4.0,1.0,,24960.0,
11,Environmental Horticulture,15,9,0.6,6.0,0.67,4.0,0.67,,45500.0,
12,Environmental Science,39,23,0.59,7.0,0.3,6.0,0.86,,45000.0,
13,Food Science and Technology,38,21,0.55,9.0,0.43,9.0,1.0,,45000.0,
14,"Human Nutrition, Foods and Exercise",273,138,0.51,29.0,0.21,18.0,0.62,23712.0,32240.0,42000.0
15,Landscape Horticulture and Design,4,3,0.75,3.0,1.0,3.0,1.0,,,
16,College of Architecture and Urban Studies,446,216,0.48,141.0,0.65,116.0,0.82,46000.0,59000.0,65000.0
17,Architecture,102,54,0.53,31.0,0.57,23.0,0.74,45000.0,50000.0,53040.0
18,Art,51,22,0.43,8.0,0.36,6.0,0.75,,34000.0,
19,Building Construction,114,53,0.46,45.0,0.85,40.0,0.89,60000.0,63500.0,66000.0
20,Construction Engineering and Management,54,26,0.48,24.0,0.92,23.0,0.96,59000.0,62500.0,68000.0
21,Environmental Policy and Planning,24,13,0.54,5.0,0.38,4.0,0.8,,50000.0,
22,Industrial Design,40,13,0.33,8.0,0.62,5.0,0.63,,41600.0,
23,Interior Design,32,16,0.5,14.0,0.88,12.0,0.86,40000.0,52000.0,53500.0
24,Landscape Architecture,14,8,0.57,2.0,0.25,,,,,
25,Public and Urban Affairs,15,11,0.73,4.0,0.36,3.0,0.75,,,
26,College of Engineering,1873,1155,0.62,844.0,0.73,741.0,0.88,63000.0,70000.0,77000.0
27,Aerospace Engineering,139,93,0.67,57.0,0.61,54.0,0.95,63000.0,68000.0,74000.0
28,Chemical Engineering,100,60,0.6,46.0,0.77,39.0,0.85,67000.0,73000.0,75000.0
29,Civil Engineering,222,158,0.71,126.0,0.8,114.0,0.9,58000.0,62000.0,66500.0
30,Computer Engineering,197,117,0.59,90.0,0.77,71.0,0.79,71000.0,78000.0,90000.0
31,Computer Science,300,184,0.61,152.0,0.83,134.0,0.88,74500.0,82000.0,99000.0
32,Electrical Engineering,174,102,0.59,63.0,0.62,56.0,0.89,62400.0,73230.0,76000.0
33,Engineering Science and Mechanics,37,25,0.68,13.0,0.52,8.0,0.62,,70000.0,
34,Industrial and Systems Engineering,195,115,0.59,91.0,0.79,81.0,0.89,68000.0,71000.0,77000.0
35,Materials Science and Engineering,80,54,0.68,28.0,0.52,24.0,0.86,62000.0,68000.0,73000.0
36,Mechanical Engineering,378,218,0.58,155.0,0.71,140.0,0.9,62000.0,67000.0,73500.0
37,Mining Engineering,31,19,0.61,15.0,0.79,13.0,0.87,58000.0,63000.0,67500.0
38,Ocean Engineering,20,10,0.5,8.0,0.8,7.0,0.88,,66191.0,
39,College of Liberal Arts and Human Sciences,1183,583,0.49,257.0,0.44,177.0,0.69,32000.0,41000.0,51000.0
40,Cinema,2,0,0.0,,,,,,,
41,Classical Studies,5,3,0.6,,0.0,,,,,
42,Communication Studies,48,27,0.56,11.0,0.41,11.0,1.0,,42000.0,
43,Consumer Studies,18,10,0.56,5.0,0.5,2.0,0.4,,,
44,Creative Writing,17,7,0.41,4.0,0.57,4.0,1.0,,30000.0,
45,Criminology,76,30,0.39,10.0,0.33,7.0,0.7,,45000.0,
46,Family and Consumer Science,2,1,0.5,1.0,1.0,1.0,1.0,,,
47,Fashion Merchandising and Design,41,18,0.44,11.0,0.61,9.0,0.82,,45000.0,
48,French,4,1,0.25,1.0,1.0,,,,,
49,History,48,30,0.63,10.0,0.33,5.0,0.5,,43000.0,
50,Human Development,236,111,0.47,27.0,0.24,19.0,0.7,27040.0,35000.0,51000.0
51,International Public Policy,4,2,0.5,1.0,0.5,,,,,
52,International Relations,7,6,0.86,3.0,0.5,3.0,1.0,,,
53,International Studies,78,30,0.38,17.0,0.57,11.0,0.65,,36418.0,
54,Literature and Language,43,19,0.44,8.0,0.42,5.0,0.63,,41600.0,
55,Multimedia Journalism,84,43,0.51,23.0,0.53,15.0,0.65,25000.0,33280.0,41600.0
56,Music,24,14,0.58,4.0,0.29,1.0,0.25,,,
57,National Security & Foreign Affairs,19,10,0.53,6.0,0.6,4.0,0.67,,50000.0,
58,Philosophy,11,4,0.36,,0.0,,,,,
59,Political Science,182,101,0.55,47.0,0.47,34.0,0.72,35000.0,39000.0,50000.0
60,Professional and Technical writing,30,20,0.67,12.0,0.6,9.0,0.75,,52000.0,
61,Property Management,34,13,0.38,9.0,0.69,8.0,0.89,,49920.0,
62,Public Relations,96,47,0.49,27.0,0.57,14.0,0.52,40000.0,41000.0,56423.0
63,Religion and Culture,10,3,0.3,1.0,0.33,1.0,1.0,,,
64,Residential Environments and Design,12,8,0.67,6.0,0.75,5.0,0.83,,41600.0,
65,Russian,7,3,0.43,1.0,0.33,1.0,1.0,,,
66,Sociology,25,11,0.44,4.0,0.36,3.0,0.75,,,
67,Spanish,5,1,0.2,1.0,1.0,1.0,1.0,,,
68,Theatre Arts,15,10,0.67,7.0,0.7,4.0,0.57,,34320.0,
69,College of Natural Resources and Environment,295,186,0.63,131.0,0.7,103.0,0.79,29000.0,37440.0,50000.0
70,Environmental Informatics,8,6,0.75,2.0,0.33,2.0,1.0,,,
71,Environmental Resources Management,21,15,0.71,9.0,0.6,6.0,0.67,,37440.0,
72,Fish Conservation,11,5,0.45,4.0,0.8,4.0,1.0,,26000.0,
73,Forestry,22,13,0.59,10.0,0.77,7.0,0.7,,40000.0,
74,Geography,48,33,0.69,22.0,0.67,19.0,0.86,31200.0,40000.0,43615.0
75,Meteorology,28,17,0.61,12.0,0.71,8.0,0.67,,36418.0,
76,Natural Resources Conservation,16,13,0.81,9.0,0.69,8.0,0.89,,31200.0,
77,Packaging Systems and Design,39,25,0.64,18.0,0.72,17.0,0.94,50000.0,60000.0,67500.0
78,Sustainable Biomaterials,27,12,0.44,7.0,0.58,5.0,0.71,,31200.0,
79,"Water: Resources, Policy, and Management",17,12,0.71,8.0,0.67,7.0,0.88,,39000.0,
80,Wildlife Conservation,58,35,0.6,30.0,0.86,20.0,0.67,24960.0,28600.0,31200.0
81,College of Science,957,476,0.5,208.0,0.44,164.0,0.79,34320.0,49795.0,68000.0
82,Biological Sciences,216,94,0.44,43.0,0.46,30.0,0.7,24960.0,35000.0,41600.0
83,Chemistry,43,22,0.51,7.0,0.32,4.0,0.57,,37296.0,
84,Clinical Neuroscience,62,33,0.53,14.0,0.42,9.0,0.64,,31200.0,
85,Cognitive and Behavioral Neuroscience,45,21,0.47,6.0,0.29,6.0,1.0,,31200.0,
86,Computational and Systems Neuroscience,7,4,0.57,3.0,0.75,3.0,1.0,,,
87,Computational Modeling and Data Analytics,79,50,0.63,36.0,0.72,31.0,0.86,67500.0,73000.0,80000.0
88,Economics,97,50,0.52,27.0,0.54,22.0,0.81,41380.0,55000.0,63000.0
89,Experimental Neuroscience,14,7,0.5,3.0,0.43,2.0,0.67,,,
90,Geosciences,25,7,0.28,,0.0,,,,,
91,Mathematics,75,41,0.55,21.0,0.51,18.0,0.86,55000.0,70000.0,75000.0
92,Microbiology,26,20,0.77,8.0,0.4,5.0,0.63,,33862.0,
93,Nanomedicine,1,0,0.0,,,,,,,
94,Nanoscience,12,7,0.58,2.0,0.29,1.0,0.5,,,
95,Neuroscience,1,0,0.0,,,,,,,
96,Physics,56,28,0.5,13.0,0.46,13.0,1.0,37440.0,60000.0,73000.0
97,Psychology,158,71,0.45,17.0,0.24,12.0,0.71,32000.0,38000.0,45000.0
98,Statistics,33,16,0.48,7.0,0.44,7.0,1.0,,58000.0,
99,Systems Biology,7,5,0.71,1.0,0.2,1.0,1.0,,,
100,Pamplin College of Business,1221,769,0.63,634.0,0.82,566.0,0.89,50000.0,60000.0,68250.0
101,Accounting and Information Systems,159,117,0.74,72.0,0.62,67.0,0.93,54000.0,59000.0,61000.0
102,Business Information Technology,394,256,0.65,230.0,0.9,207.0,0.9,60000.0,68000.0,74000.0
103,Finance,282,173,0.61,149.0,0.86,135.0,0.91,50000.0,58000.0,68000.0
104,Hospitality and Tourism Management,62,39,0.63,32.0,0.82,26.0,0.81,32365.0,41000.0,45000.0
105,Management,129,79,0.61,62.0,0.78,55.0,0.89,40600.0,50000.0,63000.0
106,Marketing Management,163,85,0.52,71.0,0.84,63.0,0.89,39000.0,45000.0,60000.0
107,Real Estate,32,20,0.63,18.0,0.9,13.0,0.72,45000.0,51000.0,55000.0
