,College/Major,Graduates,Respondents,% Respondents,Employed,% Employed,Reported Salary,% Reported Salary,25th Percentile,Median,75th Percentile
93,Sustainable Biomaterials,25,5,0.2,3.0,0.6,2.0,0.67,,,
94,"Water: Resources, Policy, and Management",20,6,0.3,2.0,0.33,1.0,0.5,,,
95,Wildlife Conservation,52,13,0.25,11.0,0.85,8.0,0.73,,24086.0,
96,College of Science,1168,329,0.28,157.0,0.48,104.0,0.66,33280.0,45760.0,74000.0
97,Biochemistry,82,16,0.2,7.0,0.44,3.0,0.43,,,
98,Biological Sciences,304,70,0.23,32.0,0.46,18.0,0.56,27040.0,36000.0,48670.0
99,Chemistry,24,5,0.21,2.0,0.4,1.0,0.5,,,
100,Clinical Neuroscience,86,25,0.29,10.0,0.4,6.0,0.6,,29120.0,
101,Cognitive and Behavioral Neuroscience,49,12,0.24,8.0,0.67,2.0,0.25,,,
102,Computational and Systems Neuroscience,14,4,0.29,3.0,0.75,2.0,0.67,,,
103,Computational Modeling and Data Analytics,94,32,0.34,25.0,0.78,22.0,0.88,77500.0,83000.0,90000.0
104,Economics,73,28,0.38,16.0,0.57,13.0,0.81,41600.0,50016.0,68500.0
105,Experimental Neuroscience,15,7,0.47,3.0,0.43,3.0,1.0,,,
106,Geosciences,16,6,0.38,1.0,0.17,,,,,
107,Mathematics,70,17,0.24,6.0,0.35,3.0,0.5,,,
108,Microbiology,23,8,0.35,5.0,0.63,4.0,0.8,,24960.0,
109,Nanomedicine,4,3,0.75,,0.0,,,,,
110,Nanoscience,16,3,0.19,1.0,0.33,1.0,1.0,,,
111,Physics,71,24,0.34,8.0,0.33,7.0,0.88,,39444.0,
112,Psychology,174,47,0.27,15.0,0.32,10.0,0.67,,35500.0,
113,Statistics,33,12,0.36,8.0,0.67,6.0,0.75,,60000.0,
114,Systems Biology,20,10,0.5,7.0,0.7,3.0,0.43,,,
115,Pamplin College of Business,1161,611,0.53,513.0,0.84,399.0,0.78,50000.0,60000.0,70000.0
116,Accounting and Information Systems,136,87,0.64,61.0,0.7,47.0,0.77,54000.0,60000.0,63000.0
117,Business Information Technology,433,239,0.55,215.0,0.9,164.0,0.76,60000.0,70000.0,75000.0
118,Finance,239,112,0.47,98.0,0.88,80.0,0.82,50000.0,60000.0,66000.0
119,Hospitality and Tourism Management,54,32,0.59,28.0,0.88,21.0,0.75,34008.0,40000.0,50000.0
120,Management,112,47,0.42,36.0,0.77,28.0,0.78,40000.0,46356.0,50000.0
121,Marketing Management,148,76,0.51,59.0,0.78,46.0,0.78,42000.0,52000.0,62500.0
122,Real Estate,39,18,0.46,16.0,0.89,13.0,0.81,47840.0,50000.0,56000.0
