,College/Major,Graduates,Respondents,% Respondents,Employed,% Employed,Reported Salary,% Reported Salary,25th Percentile,Median,75th Percentile
38,Mining Engineering,30,18,0.6,17,0.95,17,1.0,62250.0,65000.0,70000.0
39,Ocean Engineering,12,8,0.67,8,1.01,7,0.87,,57000.0,
40,College of Liberal Arts and Human Sciences,950,678,0.71,277,0.41,197,0.71,32000.0,40000.0,50000.0
41,Classical Studies,6,4,0.67,1,0.25,1,1.0,,,
42,Communication Studies,20,14,0.7,9,0.64,7,0.77,,40000.0,
43,Consumer Studies,17,8,0.47,6,0.75,5,0.83,,60000.0,
44,Creative Writing,14,9,0.64,4,0.44,3,0.75,,,
45,Criminology,46,32,0.7,17,0.53,12,0.7,38000.0,42260.0,48000.0
46,Family and Consumer Science,2,2,1.0,1,0.5,0,0.0,,,
47,Fashion Merchandising and Design,22,15,0.68,7,0.47,5,0.71,,35000.0,
48,French,6,4,0.67,2,0.5,0,0.0,,,
49,German,3,2,0.67,0,0.0,0,-0.01,,,
50,History,46,37,0.8,14,0.38,11,0.78,,38000.0,
51,Human Development,188,143,0.76,37,0.25,27,0.72,29260.0,35000.0,45000.0
52,International Relations,3,3,1.0,2,0.67,0,0.0,,,
53,International Studies,75,57,0.76,31,0.55,21,0.67,35250.0,40000.0,49500.0
54,Literature and Language,50,37,0.74,5,0.14,4,0.8,,33000.0,
55,Multimedia Journalism,59,37,0.63,14,0.38,7,0.5,,32000.0,
56,Music,16,13,0.81,0,0.0,0,-0.01,,,
57,National Security & Foreign Affairs,5,2,0.4,2,1.0,0,0.0,,,
58,Philosophy,9,7,0.78,3,0.43,2,0.66,,,
59,Political Science,143,97,0.68,48,0.5,34,0.7,32500.0,40000.0,48250.0
60,Professional and Technical Writing,20,15,0.75,10,0.67,9,0.9,,60000.0,
61,Property Management,15,9,0.6,7,0.78,7,1.0,,45760.0,
62,Public Relations,108,80,0.74,33,0.41,26,0.78,34500.0,40000.0,50500.0
63,Religion and Culture,7,6,0.86,3,0.5,2,0.66,,,
64,Residential Environments and Design,7,5,0.71,3,0.6,3,1.0,,,
65,Russian,6,5,0.83,2,0.4,1,0.5,,,
66,Sociology,30,18,0.6,9,0.5,5,0.55,,30000.0,
67,Spanish,7,3,0.43,2,0.66,0,0.0,,,
68,Theatre Arts,21,14,0.67,5,0.36,5,1.0,,21840.0,
69,College of Natural Resources and Environment,210,156,0.74,94,0.59,68,0.72,33000.0,42477.0,54000.0
70,Environmental Informatics,6,4,0.67,2,0.5,2,1.0,,,
71,Environmental Resources Management,15,12,0.8,6,0.5,5,0.83,,40000.0,
72,Fish Conservation,9,5,0.56,1,0.2,0,0.0,,,
73,Forestry,14,12,0.86,12,1.0,10,0.83,,37000.0,
74,Geography,39,26,0.67,15,0.58,10,0.66,,53000.0,
75,Meteorology,19,12,0.63,7,0.58,7,1.0,,37292.0,
76,Natural Resources Conservation,12,7,0.58,5,0.72,3,0.6,,,
77,Packaging Systems and Design,34,24,0.71,15,0.62,13,0.86,42030.0,55000.0,63000.0
78,Sustainable Biomaterials,21,17,0.81,11,0.65,10,0.9,,43750.0,
79,"Water: Resources, Policy, and Management",8,6,0.75,3,0.5,1,0.33,,,
80,Wildlife Conservation,33,31,0.94,17,0.55,7,0.41,,26000.0,
81,College of Science,825,577,0.7,176,0.3,134,0.76,31500.0,46486.0,70000.0
82,Biochemistry (SCI),87,55,0.63,17,0.31,13,0.76,21675.0,45000.0,61661.0
83,Biological Sciences,190,128,0.67,33,0.26,21,0.63,21000.0,30000.0,45000.0
84,Chemistry,29,25,0.86,5,0.2,5,1.0,,38000.0,
85,Clinical Neuroscience,33,24,0.73,8,0.33,6,0.75,,23230.0,
86,Cognitive and Behavioral Neuroscience,22,10,0.45,5,0.5,3,0.6,,,
87,Computational and Systems Neuroscience,4,3,0.75,2,0.67,1,0.5,,,
88,Computational Modeling and Data Analytics,46,41,0.89,29,0.7,27,0.93,62750.0,70000.0,75000.0
89,Economics,56,37,0.66,14,0.38,12,0.85,36000.0,57500.0,68000.0
90,Experimental Neuroscience,10,8,0.8,3,0.38,2,0.66,,,
91,Geosciences,19,12,0.63,2,0.16,2,1.0,,,
92,Mathematics,63,43,0.68,15,0.34,11,0.73,,60000.0,
93,Microbiology,25,23,0.92,7,0.3,5,0.71,,43400.0,
94,Nanoscience,13,12,0.92,1,0.08,1,1.0,,,
95,Neuroscience,2,1,0.5,1,1.0,1,1.0,,,
96,Physics,57,49,0.86,6,0.12,5,0.83,,37292.0,
97,Psychology,147,91,0.62,23,0.25,15,0.65,30000.0,35000.0,41500.0
98,Statistics,21,14,0.67,5,0.36,4,0.8,,70000.0,
99,Systems Biology,1,1,1.0,0,0.0,0,-0.01,,,
100,Pamplin College of Business,1024,727,0.71,580,0.8,521,0.89,50000.0,60000.0,65000.0
101,Accounting & Information Systems,138,104,0.75,69,0.66,62,0.89,56000.0,60000.0,61250.0
102,Business Information Technology,311,233,0.75,187,0.8,167,0.89,60000.0,65000.0,72500.0
103,"Economics, Business",19,11,0.58,6,0.55,6,1.0,,56000.0,
104,Finance,246,169,0.69,145,0.86,134,0.92,50000.0,58500.0,65000.0
105,Hospitality & Tourism Management,55,37,0.67,33,0.89,32,0.96,32000.0,40000.0,44000.0
106,Management,85,58,0.68,42,0.72,36,0.85,43000.0,51000.0,60000.0
107,Marketing Management,156,104,0.67,88,0.85,77,0.87,40000.0,52000.0,60000.0
108,Real Estate,16,11,0.69,10,0.91,7,0.7,,52000.0,
