,College/Major,Graduates,Respondents,% Respondents,Employed,% Employed,Reported Salary,% Reported Salary,25th Percentile,Median,75th Percentile
0,Whole University,5619,3901,0.69,2233,0.57,1891,0.84,45000.0,60000.0,70000.0
1,College of Agriculture and Life Sciences,695,442,0.64,160,0.36,112,0.7,30000.0,40000.0,47500.0
2,Agribusiness,37,29,0.78,25,0.86,20,0.8,35000.0,40000.0,54000.0
3,Agricultural Sciences,13,8,0.62,5,0.63,3,0.6,,,
4,Agricultural Technology,35,16,0.46,11,0.69,7,0.63,,40000.0,
5,Animal & Poultry Sciences,123,83,0.67,25,0.3,18,0.72,24500.0,32120.0,40000.0
6,Applied Economic Management,41,22,0.54,14,0.64,9,0.64,,46600.0,
7,Biochemistry,54,35,0.65,9,0.26,3,0.33,,,
8,Crop & Soil Environ Sciences,19,15,0.79,10,0.67,8,0.8,,37000.0,
9,Dairy Science,17,9,0.53,5,0.55,3,0.6,,,
10,Environmental Horticulture,16,8,0.5,4,0.51,4,1.0,,36057.0,
11,Environmental Science,32,18,0.56,8,0.45,6,0.75,,42750.0,
12,Food Science & Technology,38,24,0.63,15,0.62,12,0.8,38000.0,49250.0,55000.0
13,Human Nutrition Foods & Exercise,266,172,0.65,28,0.17,18,0.64,21100.0,29000.0,34000.0
14,Landscape Contracting,4,3,0.75,1,0.33,1,1.0,,,
15,College of Architecture and Urban Studies,308,196,0.64,131,0.67,114,0.87,47000.0,55000.0,62000.0
16,Architecture,87,49,0.56,34,0.69,31,0.91,42750.0,50000.0,52750.0
17,Art,4,3,0.75,0,0.0,0,-0.01,,,
18,Art (Fine Arts),45,24,0.53,8,0.33,5,0.62,,43000.0,
19,Building Construction,73,55,0.75,53,0.97,46,0.86,60000.0,62000.0,65000.0
20,Environmental Policy & Planning,18,13,0.72,5,0.39,4,0.8,,47502.0,
21,Industrial Design,37,20,0.54,10,0.5,10,1.0,,58500.0,
22,Interior Design,23,16,0.7,14,0.87,11,0.78,,48000.0,
23,Landscape Architecture,10,7,0.7,4,0.57,4,1.0,,46000.0,
24,Public and Urban Affairs,11,9,0.82,3,0.33,3,1.0,,,
25,College of Engineering,1610,1125,0.7,815,0.72,745,0.91,61000.0,68000.0,75000.0
26,Aerospace Engineering,87,59,0.68,34,0.57,30,0.88,57500.0,65000.0,71500.0
27,Biological Systems Engineering,63,49,0.78,24,0.49,21,0.87,50500.0,57500.0,69500.0
28,Chemical Engineering,92,70,0.76,54,0.77,52,0.96,67000.0,72000.0,80000.0
29,Civil Engineering,178,135,0.76,88,0.65,82,0.93,55000.0,59640.0,64000.0
30,Computer Engineering,131,92,0.7,64,0.69,59,0.92,65000.0,72000.0,80000.0
31,Computer Science,239,160,0.67,135,0.85,123,0.91,70000.0,80000.0,99000.0
32,Construction Engineering & Management,38,23,0.61,21,0.91,20,0.95,59000.0,65000.0,65000.0
33,Electrical Engineering,154,110,0.71,75,0.69,68,0.9,65000.0,71000.0,76200.0
34,Engineering Science & Mechanics,34,22,0.65,10,0.45,9,0.9,,63000.0,
35,Industrial & Systems Engineering,145,108,0.74,94,0.87,88,0.93,64000.0,68875.0,72500.0
36,Materials Science & Engineering,61,41,0.67,23,0.56,22,0.95,60000.0,65000.0,68000.0
37,Mechanical Engineering,346,230,0.66,168,0.73,147,0.87,60187.0,65000.0,72000.0
