,College/Major,Graduates,Respondents,% Respondents,Employed,% Employed,Reported Salary,% Reported Salary,25th Percentile,Median,75th Percentile
0,Whole University,5660,3897,0.69,2040,0.52,1751,0.85,45000.0,60000.0,68000.0
1,College of Agriculture and Life Sciences,686,479,0.7,131,0.26,99,0.75,30000.0,35000.0,45250.0
2,Agribusiness,30,20,0.67,11,0.55,11,1.0,,45000.0,
3,Agricultural Sciences,17,13,0.76,7,0.54,5,0.71,,35000.0,
4,Agricultural Technology,44,21,0.48,12,0.58,7,0.58,,38000.0,
5,Animal & Poultry Sciences,104,74,0.71,20,0.27,13,0.65,27000.0,34000.0,39000.0
6,Applied Economic Management,53,37,0.7,15,0.4,13,0.86,35000.0,45000.0,53750.0
7,Biochemistry,40,28,0.7,8,0.28,5,0.62,,36000.0,
8,Crop & Soil Environ Sciences,21,15,0.71,4,0.27,4,1.0,,20500.0,
9,Dairy Science,13,12,0.92,6,0.49,4,0.66,,33000.0,
10,Environmental Horticulture,18,11,0.61,8,0.73,4,0.5,,29500.0,
11,Environmental Science,34,19,0.56,5,0.26,4,0.8,,46520.0,
12,Food Science & Technology,31,21,0.68,9,0.43,8,0.88,,47000.0,
13,Human Nutrition Foods & Exercise,276,205,0.74,24,0.11,19,0.79,19800.0,30000.0,35250.0
14,Landscape Contracting,5,3,0.6,2,0.67,2,1.0,,,
15,College of Architecture and Urban Studies,304,192,0.63,110,0.58,93,0.84,43500.0,50000.0,60000.0
16,Architecture,100,58,0.58,32,0.55,29,0.9,43000.0,47000.0,49575.0
17,Art,5,4,0.8,0,0.0,0,-0.01,,,
18,Art (Fine Arts),39,23,0.59,7,0.3,3,0.42,,,
19,Building Construction,56,40,0.71,37,0.94,32,0.86,58000.0,62500.0,67000.0
20,Environmental Policy & Planning,14,10,0.71,4,0.4,3,0.75,,,
21,Industrial Design,27,19,0.7,8,0.42,5,0.62,,43000.0,
22,Interior Design,30,18,0.6,12,0.67,12,1.0,42000.0,46500.0,48000.0
23,Landscape Architecture,10,8,0.8,6,0.75,6,1.0,,38750.0,
24,Public and Urban Affairs,4,2,0.5,1,0.5,0,0.0,,,
25,Real Estate,19,10,0.53,3,0.3,3,1.0,,,
26,College of Engineering,1768,1264,0.71,837,0.66,756,0.9,60000.0,65450.0,72000.0
27,Aerospace Engineering,132,95,0.72,52,0.55,44,0.84,60000.0,65000.0,70000.0
28,Biological Systems Engineering,66,46,0.7,23,0.5,19,0.82,44900.0,60000.0,67000.0
29,Chemical Engineering,100,79,0.79,54,0.68,49,0.9,60000.0,66000.0,72500.0
30,Civil Engineering,199,164,0.82,111,0.67,103,0.92,55000.0,60000.0,62100.0
31,Computer Engineering,119,85,0.71,62,0.73,54,0.87,65000.0,71000.0,85500.0
32,Computer Science,195,130,0.67,105,0.81,97,0.92,70000.0,78000.0,100000.0
33,Construction Engineering & Management,48,39,0.81,34,0.87,34,1.0,55500.0,58750.0,63000.0
34,Electrical Engineering,150,105,0.7,64,0.61,55,0.85,60375.0,71500.0,74250.0
35,Engineering Science & Mechanics,57,48,0.84,24,0.5,18,0.75,51000.0,58515.0,65000.0
36,Industrial & Systems Engineering,149,103,0.69,84,0.82,73,0.86,60000.0,67000.0,72500.0
37,Materials Science & Engineering,80,54,0.68,21,0.39,21,1.0,60000.0,67000.0,69750.0
38,Mechanical Engineering,416,278,0.67,175,0.62,161,0.92,60000.0,65000.0,70000.0
39,Mining Engineering,42,29,0.69,20,0.69,20,1.0,58000.0,62750.0,68000.0
40,Ocean Engineering,16,9,0.56,8,0.89,8,1.0,,57529.0,
41,College of Liberal Arts and Human Sciences,879,574,0.65,228,0.39,173,0.75,30000.0,37000.0,46000.0
42,"Apparel, Housing and Resource Management",1,1,1.0,0,0.0,0,-0.01,,,
43,Classical Studies,3,3,1.0,1,0.33,1,1.0,,,
44,Communication Studies,20,14,0.7,11,0.78,8,0.72,,42500.0,
45,Consumer Studies,21,8,0.38,6,0.76,5,0.83,,32000.0,
46,Creative Writing,19,11,0.58,5,0.45,1,0.2,,,
47,Criminology,24,16,0.67,5,0.32,4,0.8,,36745.0,
48,Family and Consumer Science,1,1,1.0,0,0.0,0,-0.01,,,
49,Fashion Merchandising and Design,15,12,0.8,3,0.25,3,1.0,,,
50,French,1,1,1.0,1,1.0,1,1.0,,,
