,College/Major,Graduates,Respondents,% Respondents,Employed,% Employed,Reported Salary,% Reported Salary,25th Percentile,Median,75th Percentile
51,History,61,38,0.62,17,0.45,17,1.0,22500.0,35000.0,43500.0
52,Human Development,152,108,0.71,29,0.28,17,0.58,17750.0,22880.0,34125.0
53,"Humanities, Science & Environment",3,2,0.67,0,0.0,0,-0.01,,,
54,International Studies,99,63,0.64,29,0.46,24,0.82,33000.0,40000.0,50000.0
55,Literature and Language,36,22,0.61,4,0.19,3,0.75,,,
56,Multimedia Journalism,52,31,0.6,10,0.32,6,0.6,,34110.0,
57,Music,17,13,0.76,3,0.23,3,1.0,,,
58,Philosophy,7,4,0.57,0,0.0,0,-0.01,,,
59,Political Science,127,75,0.59,33,0.44,23,0.69,35750.0,40800.0,49250.0
60,Professional and Technical Writing,28,21,0.75,10,0.48,9,0.9,,50000.0,
61,Property Management,9,5,0.56,4,0.8,4,1.0,,40000.0,
62,Public Relations,93,67,0.72,31,0.46,25,0.8,30750.0,37440.0,42750.0
63,Religion and Culture,1,0,0.0,0,-0.01,0,-0.01,,,
64,Residential Environments and Design,17,10,0.59,8,0.8,7,0.87,,50000.0,
65,Russian,2,2,1.0,0,0.0,0,-0.01,,,
66,Sociology,44,32,0.73,12,0.38,8,0.66,,36413.0,
67,Spanish,8,5,0.63,3,0.6,2,0.66,,,
68,Theatre Arts,19,9,0.47,3,0.33,2,0.66,,,
69,College of Natural Resources and Environment,182,136,0.75,63,0.46,45,0.71,30000.0,38000.0,50000.0
70,Environmental Informatics,1,1,1.0,0,0.0,0,-0.01,,,
71,Environmental Resources Management,17,13,0.76,6,0.46,5,0.83,,35000.0,
72,Fish Conservation,14,9,0.64,1,0.11,1,1.0,,,
73,Forestry,12,10,0.83,8,0.8,6,0.75,,35500.0,
74,Geography,34,24,0.71,11,0.45,8,0.72,,40000.0,
75,Meteorology,23,18,0.78,9,0.51,5,0.55,,50000.0,
76,Natural Resources Conservation,13,11,0.85,7,0.63,6,0.85,,30375.0,
77,Packaging Systems and Design,20,16,0.8,8,0.5,7,0.87,,60000.0,
78,Sustainable Biomaterials,13,9,0.69,4,0.44,4,1.0,,45500.0,
79,"Water: Resources, Policy, and Management",3,2,0.67,0,0.0,0,-0.01,,,
80,Wildlife Conservation,32,23,0.72,9,0.39,3,0.33,,,
81,College of Science,839,542,0.65,151,0.28,108,0.71,34000.0,44000.0,61000.0
82,Biochemistry (SCI),80,52,0.65,10,0.2,8,0.8,,39000.0,
83,Biological Sciences,245,170,0.69,36,0.22,21,0.58,28500.0,35000.0,46500.0
84,Chemistry,31,22,0.71,4,0.19,2,0.5,,,
85,Computational Modeling and Data Analytics,18,14,0.78,8,0.57,7,0.87,,78000.0,
86,Economics,61,40,0.66,23,0.58,20,0.86,35000.0,45500.0,51000.0
87,Geosciences,34,18,0.53,3,0.17,1,0.33,,,
88,Mathematics,78,54,0.69,21,0.39,19,0.9,48000.0,70000.0,75700.0
89,Microbiology,34,25,0.74,5,0.2,4,0.8,,28000.0,
90,Nanoscience,8,6,0.75,1,0.17,1,1.0,,,
91,Neuroscience,19,12,0.63,3,0.25,2,0.66,,,
92,Physics,46,30,0.65,5,0.16,5,1.0,,42000.0,
93,Psychology,169,88,0.52,29,0.33,16,0.55,30000.0,35000.0,40000.0
94,Statistics,20,11,0.55,3,0.27,2,0.66,,,
95,Pamplin College of Business,1007,710,0.71,520,0.74,477,0.91,49250.0,59000.0,65000.0
96,Accounting & Information Systems,154,118,0.77,80,0.68,74,0.92,53000.0,57500.0,60000.0
97,Business Information Technology,321,234,0.73,189,0.8,175,0.92,60000.0,65000.0,72500.0
98,"Economics, Business",12,6,0.5,3,0.5,3,1.0,,,
99,Finance,210,137,0.65,99,0.73,94,0.94,50000.0,57000.0,65000.0
100,Hospitality & Tourism Management,73,52,0.71,41,0.79,35,0.85,37250.0,43000.0,47625.0
101,Management,103,56,0.54,37,0.65,35,0.94,38965.0,47500.0,55500.0
102,Marketing Management,142,107,0.75,71,0.66,61,0.85,40000.0,46000.0,58000.0
